<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
МТС-ао;D;20170816;000000;243,65;245,45;242,5;243,8;552780;0
МТС-ао;D;20170817;000000;243,15;243,65;239,05;243,25;2019150;0
МТС-ао;D;20170818;000000;243;244;241,8;244;1023510;0
МТС-ао;D;20170821;000000;243;246,25;243;244,95;873100;0
МТС-ао;D;20170822;000000;245;246,2;244,15;245,25;628820;0
МТС-ао;D;20170823;000000;245,05;248;244,7;247,55;2130160;0
МТС-ао;D;20170824;000000;247,8;252,5;247,3;252;2353330;0
МТС-ао;D;20170825;000000;251,5;253;248;253;1627490;0
МТС-ао;D;20170828;000000;251,5;253,7;250;252;1125590;0
МТС-ао;D;20170829;000000;252,2;254,7;250,85;254,7;1227690;0
МТС-ао;D;20170830;000000;254,8;260,25;254,25;257,7;1862990;0
МТС-ао;D;20170831;000000;257,7;271,45;256;270;4617870;0
МТС-ао;D;20170901;000000;270,4;271,6;263,2;264,9;2630190;0
МТС-ао;D;20170904;000000;264;270,5;260,65;261,05;2511790;0
МТС-ао;D;20170905;000000;261;270;261;264,25;3527580;0
МТС-ао;D;20170906;000000;263,65;275,45;262,3;273,7;4756670;0
МТС-ао;D;20170907;000000;274,75;279;274,25;275,45;2455930;0
МТС-ао;D;20170908;000000;276,15;280;275,5;277,55;2312020;0
МТС-ао;D;20170911;000000;278,5;284,8;277,5;283,5;2946790;0
МТС-ао;D;20170912;000000;283,5;286,75;279;286,4;2447890;0
МТС-ао;D;20170913;000000;287;289,35;285,15;285,9;2791920;0
МТС-ао;D;20170914;000000;285,9;288,15;279,05;286,15;2466450;0
МТС-ао;D;20170915;000000;287;288,9;284,65;288;2769950;0
МТС-ао;D;20170918;000000;288;289,95;285,95;286,2;1998510;0
МТС-ао;D;20170919;000000;284,9;293,6;282,05;292,45;3029800;0
МТС-ао;D;20170920;000000;291;293,3;289,05;291,5;1707100;0
МТС-ао;D;20170921;000000;291,6;294,45;288;288;2576130;0
МТС-ао;D;20170922;000000;288;289,8;279,3;279,45;2811420;0
МТС-ао;D;20170925;000000;278,1;282,9;272,25;277,55;3135530;0
МТС-ао;D;20170926;000000;277,1;284,95;276;282,35;1682230;0
МТС-ао;D;20170927;000000;284,5;287,5;282,55;283,85;1637990;0
МТС-ао;D;20170928;000000;285;285,35;280,55;282,85;1885370;0
МТС-ао;D;20170929;000000;282,9;283;277,1;282,05;2186050;0
МТС-ао;D;20171002;000000;282;283;279;279,5;1171640;0
МТС-ао;D;20171003;000000;279;281,8;277,35;279,7;1612580;0
МТС-ао;D;20171004;000000;279,85;280,35;277,7;278,5;805700;0
МТС-ао;D;20171005;000000;277,65;280;276,45;278,6;1161880;0
МТС-ао;D;20171006;000000;279;281;277,4;278,45;1683100;0
МТС-ао;D;20171009;000000;279,9;283,65;279,15;282,8;2171830;0
МТС-ао;D;20171010;000000;283,45;284,8;281,7;283;2790550;0
МТС-ао;D;20171011;000000;282,5;291,95;282,35;291,95;2961250;0
МТС-ао;D;20171012;000000;283;283,65;280,45;282,5;1800250;0
МТС-ао;D;20171013;000000;282,95;284,7;281,75;283,7;1934940;0
МТС-ао;D;20171016;000000;283,7;284,25;281,8;283,5;1131450;0
МТС-ао;D;20171017;000000;283,4;285,75;282,3;282,3;1612160;0
МТС-ао;D;20171018;000000;283,5;286,3;282,45;286,1;1345270;0
МТС-ао;D;20171019;000000;285,05;287,45;281,55;281,55;1244370;0
МТС-ао;D;20171020;000000;283;284,6;280,85;281,15;1224320;0
МТС-ао;D;20171023;000000;281,6;282,6;277,25;280,75;1187900;0
МТС-ао;D;20171024;000000;281;285;280,95;284,2;818210;0
МТС-ао;D;20171025;000000;283,65;287,7;283,65;284,15;1181010;0
МТС-ао;D;20171026;000000;284,5;285,75;282;282,55;1077250;0
МТС-ао;D;20171027;000000;283,05;285,5;281,5;283,4;1526150;0
МТС-ао;D;20171030;000000;283,5;284,2;280,2;282,6;908980;0
МТС-ао;D;20171031;000000;283,7;285,6;280,95;281,5;1050060;0
МТС-ао;D;20171101;000000;282,4;292,9;280,55;287,75;3608640;0
МТС-ао;D;20171102;000000;287,5;288;279;281,6;1737900;0
МТС-ао;D;20171103;000000;282;286,9;281,65;286,2;860410;0
МТС-ао;D;20171107;000000;287;292;285;291,8;2541610;0
МТС-ао;D;20171108;000000;291,5;291,8;287,6;287,8;1148540;0
МТС-ао;D;20171109;000000;289,95;289,95;281,7;288,5;1465830;0
МТС-ао;D;20171110;000000;288;295;286,15;292,95;1724540;0
МТС-ао;D;20171113;000000;292,7;296,4;290,8;295,95;1516320;0
МТС-ао;D;20171114;000000;295,9;296,95;290,75;294,5;1208010;0
МТС-ао;D;20171115;000000;294,6;296,45;281,9;284,2;1648910;0
МТС-ао;D;20171116;000000;285;288,5;279,8;280,55;1717410;0
МТС-ао;D;20171117;000000;281,25;284,7;280,6;283;686490;0
МТС-ао;D;20171120;000000;283;283,85;281,8;283;355160;0
МТС-ао;D;20171121;000000;283;285,75;283;284,3;513290;0
МТС-ао;D;20171122;000000;285,95;286,5;280,3;280,3;1059480;0
МТС-ао;D;20171123;000000;280,3;283,1;280,3;283,1;510870;0
МТС-ао;D;20171124;000000;283,1;289,45;282,9;288,7;1412310;0
МТС-ао;D;20171127;000000;288,7;289;285,1;285,9;524240;0
МТС-ао;D;20171128;000000;285,3;286,8;282,7;284;687900;0
МТС-ао;D;20171129;000000;284;285,95;281,05;282;526140;0
МТС-ао;D;20171130;000000;282;284,55;275,1;284,55;1295690;0
